epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
86,37425.7,1.49493,1.05475,0.91701,1.00001,0.42417,0.33565,0.30847,0.17468,1.42732,1.0245,0.91083,0,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.000959277,0.000319759,0.00383711,0.00127904
87,37913.2,1.48868,1.04961,0.91666,0.99999,0.41987,0.33731,0.30907,0.17537,1.42668,1.02397,0.91098,0,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.000856659,0.000285553,0.00342664,0.00114221
88,38322.5,1.48708,1.04653,0.91657,1.00001,0.4255,0.33662,0.30941,0.17542,1.42741,1.02458,0.91086,0,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.000760672,0.000253557,0.00304269,0.00101423
89,38724.3,1.4901,1.04931,0.91802,1,0.42723,0.33517,0.31001,0.17546,1.42789,1.02424,0.9109,0,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00067141,0.000223803,0.00268564,0.000895213
90,39112.9,1.48505,1.0479,0.91615,1.00001,0.4258,0.33944,0.31044,0.17575,1.42717,1.02307,0.9107,0,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00058896,0.00019632,0.00235584,0.00078528
91,39524.3,1.46226,1.0356,0.91773,1,0.42553,0.33099,0.30722,0.17404,1.43312,1.0277,0.91295,0,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.000513405,0.000171135,0.00205362,0.00068454
92,39909.2,1.44387,1.01517,0.91606,0.99999,0.42401,0.33199,0.30612,0.17291,1.43463,1.02872,0.91346,0,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000444819,0.000148273,0.00177928,0.000593093
93,40284.2,1.44546,1.01402,0.91467,0.99999,0.42788,0.33087,0.30595,0.17286,1.43385,1.02944,0.91307,0,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00038327,0.000127757,0.00153308,0.000511027
94,40785.9,1.44378,1.01273,0.91563,1,0.43132,0.33056,0.3056,0.17286,1.43337,1.02893,0.91283,0,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000328818,0.000109606,0.00131527,0.000438424
95,41180.7,1.43809,1.00794,0.9166,1,0.43217,0.33125,0.30573,0.17251,1.43309,1.02787,0.91251,0,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000281517,9.38391e-05,0.00112607,0.000375356
