DeformableTransformer_mean_weight,DeformableTransformer_top1_token_frac,LocalConvTransformer_mean_weight,LocalConvTransformer_top1_token_frac,WindowTransformer_mean_weight,WindowTransformer_top1_token_frac,density,image,module,object_count,occlusion,scale,shape,top_expert
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01109_d_0000004.jpg,model.20.m.0,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01109_d_0000004.jpg,model.20.m.1,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01109_d_0000004.jpg,model.23.m.0,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01109_d_0000004.jpg,model.23.m.1,31,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01878_d_0000005.jpg,model.14.m.0,36,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01878_d_0000005.jpg,model.14.m.1,36,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01878_d_0000005.jpg,model.20.m.0,36,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01878_d_0000005.jpg,model.20.m.1,36,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01878_d_0000005.jpg,model.23.m.0,36,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_01878_d_0000005.jpg,model.23.m.1,36,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_02163_d_0000006.jpg,model.14.m.0,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_02163_d_0000006.jpg,model.14.m.1,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_02163_d_0000006.jpg,model.20.m.0,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_02163_d_0000006.jpg,model.20.m.1,49,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000069_02163_d_0000006.jpg,model.23.m.0,49,unknown,small,irregular,LocalConvTransformer
